notif_no,substance_detected
NOT230604369K,Nan
NOT230604170K,Nan
NOT230604495K,Nan
NOT230604321K,Nan
NOT230604667K,Nan
NOT230604298K,Nan
NOT230604295K,Nan
NOT230604227K,Nan
NOT230604226K,Nan
NOT230604225K,Nan
NOT230604624K,Nan
NOT230604354K,Nan
NOT230604311K,Nan
NOT230604671K,Nan
NOT230604322K,Nan
NOT230604599K,Nan
NOT230604480K,Nan
NOT230604562K,Nan
NOT230604695K,Nan
NOT230604228K,Nan
NOT230604314K,Nan
NOT170604108K,Nan
NOT230604230K,Nan
NOT230604324K,Nan
NOT230604309K,Nan
NOT230604268K,Nan
NOT230604264K,Nan
NOT230604265K,Nan
NOT230604364K,Nan
NOT230604361K,Nan
NOT230604329K,Nan
NOT230604723K,Nan
NOT230604234K,Nan
NOT230604669K,Nan
NOT230604179K,Nan
NOT230604180K,Nan
NOT230604697K,Nan
NOT230604370K,Nan
NOT230604165K,Nan
NOT230604359K,Nan
NOT230604731K,Nan
NOT230604672K,Nan
NOT190605191K,Nan
NOT190605380K,Nan
NOT230604496K,Nan
NOT230604296K,Nan
NOT230604656K,Nan
NOT230604186K,Nan
NOT230604291K,Nan
NOT230604171K,Nan
NOT230604224K,Nan
NOT230604491K,Nan
NOT190605381K,Nan
NOT230604290K,Nan
NOT230604320K,Nan
NOT230604673K,Nan
NOT190605382K,Nan
NOT190605198K,Nan
NOT210604565K,Nan
NOT230604740K,Nan
NOT230604739K,Nan
NOT230604825K,Nan
NOT210604786K,Nan
NOT230604863K,Nan
NOT230604852K,Nan
NOT230604746K,Nan
NOT210604560K,Nan
NOT230604815K,Nan
NOT230604881K,Nan
NOT230604827K,Nan
NOT230604829K,Nan
NOT230604824K,Nan
NOT210604748K,Nan
NOT230604744K,Nan
NOT110603132K,Nan
NOT230604738K,Nan
NOT230604742K,Nan
NOT110603134K,Nan
NOT210604745K,Nan
NOT110603133K,Nan
NOT230604901K,Nan
NOT110603135K,Nan
NOT230604826K,Nan
NOT230604812K,Nan
NOT210604540K,Nan
NOT230604817K,Nan
NOT230604743K,Nan
NOT230604848K,Nan
NOT210604747K,Nan
NOT230604789K,Nan
NOT230604819K,Nan
NOT230604737K,Nan
NOT230604882K,Nan
NOT210604746K,Nan
NOT110602984K,Nan
NOT230604741K,Nan
NOT230604745K,Nan
NOT230604919K,Nan
NOT230604823K,Nan
NOT210604579K,Nan
NOT210604656K,Nan
NOT230604751K,Nan
NOT230604775K,Nan
NOT210604771K,Nan
NOT210604749K,Nan
NOT210604662K,Nan
NOT230604791K,Nan
NOT210604661K,Nan
NOT210604573K,Nan
NOT210604527K,Nan
NOT210604773K,Nan
NOT210604566K,Nan
NOT210604827K,Nan
NOT170604307K,Nan
NOT210604655K,Nan
NOT170604325K,Nan
NOT230604879K,Nan
NOT210604571K,Nan
NOT210604772K,Nan
NOT230604760K,Nan
NOT210604777K,Nan
NOT210604570K,Nan
NOT230604859K,Nan
NOT210604564K,Nan
NOT210604654K,Nan
NOT210604729K,Nan
NOT210604562K,Nan
NOT210604561K,Nan
NOT230604794K,Nan
NOT210604526K,Nan
NOT210604782K,Nan
NOT230604889K,Nan
NOT230604814K,Nan
NOT210604780K,Nan
NOT210604781K,Nan
NOT210604779K,Nan
NOT210604778K,Nan
NOT210604783K,Nan
NOT210604744K,Nan
NOT210604538K,Nan
NOT210604574K,Nan
NOT230604877K,Nan
NOT230604885K,Nan
NOT210604575K,Nan
NOT230604870K,Nan
NOT210604788K,Nan
NOT210604806K,Nan
NOT230604886K,Nan
NOT210604743K,Nan
NOT230604750K,Nan
NOT230604856K,Nan
NOT210604557K,Nan
NOT210604558K,Nan
NOT230604887K,Nan
NOT210604790K,Nan
NOT230604759K,Nan
NOT210604585K,Nan
NOT210604657K,Nan
NOT230604857K,Nan
NOT170604327K,Nan
NOT210604789K,Nan
NOT210604660K,Nan
NOT210604665K,Nan
NOT210604659K,Nan
NOT230604818K,Nan
NOT170604316K,Nan
NOT170604317K,Nan
NOT230604884K,Nan
NOT170604321K,Nan
NOT170604343K,Nan
NOT170604344K,Nan
NOT170604346K,Nan
NOT230604748K,Nan
NOT230604880K,Nan
NOT170604349K,Nan
NOT230604749K,Nan
NOT170604342K,Nan
NOT230604835K,Nan
NOT230604798K,Nan
NOT230604806K,Nan
NOT210604811K,Nan
NOT210604814K,Nan
NOT150603991K,Nan
NOT210604813K,Nan
NOT150603994K,Nan
NOT150603992K,Nan
NOT210604588K,Nan
NOT150603993K,Nan
NOT150604001K,Nan
NOT210604730K,Nan
NOT150604014K,Nan
NOT210604580K,Nan
NOT150603998K,Nan
NOT150603999K,Nan
NOT150604000K,Nan
NOT230604900K,Nan
NOT230604793K,Nan
NOT230604890K,Nan
NOT230604875K,Nan
NOT210604810K,Nan
NOT230604873K,Nan
NOT230604786K,Nan
NOT230604752K,Nan
NOT150603996K,Nan
NOT230604920K,Nan
NOT150603995K,Nan
NOT230604921K,Nan
NOT150603997K,Nan
NOT230604922K,Nan
NOT230604923K,Nan
NOT230604924K,Nan
NOT230604925K,Nan
NOT230604891K,Nan
NOT230604926K,Nan
NOT230604928K,Nan
NOT230604813K,Nan
NOT230604929K,Nan
NOT230604930K,Nan
NOT150603960K,Nan
NOT230604782K,Nan
NOT230604784K,Nan
NOT230604851K,Nan
NOT210604807K,Nan
NOT230604927K,Nan
NOT230604861K,Nan
NOT210604542K,Nan
NOT230604860K,Nan
NOT230604790K,Nan
NOT230604788K,Nan
NOT230604834K,Nan
NOT230604840K,Nan
NOT210604613K,Nan
NOT230604756K,Nan
NOT210604701K,Nan
NOT230604850K,Nan
NOT210604817K,Nan
NOT210604680K,Nan
NOT210604818K,Nan
NOT230604757K,Nan
NOT230604843K,Nan
NOT230604836K,Nan
NOT230604816K,Nan
NOT230604776K,Nan
NOT230604837K,Nan
NOT230604855K,Nan
NOT230604795K,Nan
NOT230604838K,Nan
NOT210604835K,Nan
NOT230604893K,Nan
NOT230604833K,Nan
NOT230604772K,Nan
NOT230604892K,Nan
NOT210604590K,Nan
NOT230604811K,Nan
NOT210604592K,Nan
NOT210604663K,Nan
NOT230604858K,Nan
NOT230604883K,Nan
NOT230604845K,Nan
NOT230604771K,Nan
NOT230604832K,Nan
NOT210604664K,Nan
NOT210604593K,Nan
NOT210604601K,Nan
NOT210604666K,Nan
NOT210604546K,Nan
NOT210604667K,Nan
NOT230604869K,Nan
NOT230604841K,Nan
NOT240704455K,Nan
NOT210604830K,Nan
NOT230604844K,Nan
NOT230604894K,Nan
NOT230604822K,Nan
NOT230604896K,Nan
NOT230604905K,Nan
NOT230604802K,Nan
NOT230604820K,Nan
NOT230604779K,Nan
NOT230604800K,Nan
NOT230604888K,Nan
NOT230604831K,Nan
NOT230604871K,Nan
NOT230604778K,Nan
NOT210604763K,Nan
NOT230604797K,Nan
NOT230604846K,Nan
NOT230604792K,Nan
NOT230604777K,Nan
NOT230604755K,Nan
NOT230604796K,Nan
NOT230604799K,Nan
NOT230604902K,Nan
NOT230604774K,Nan
NOT230604808K,Nan
NOT230604898K,Nan
NOT230604899K,Nan
NOT230604754K,Nan
NOT230604773K,Nan
NOT230604867K,Nan
NOT230604807K,Nan
NOT230604821K,Nan
NOT230604865K,Nan
NOT230604847K,Nan
NOT230604849K,Nan
NOT230604895K,Nan
NOT230604903K,Nan
NOT230604810K,Nan
NOT210604568K,Nan
NOT230604897K,Nan
NOT230604915K,Nan
NOT230604809K,Nan
NOT210604599K,Nan
NOT230604913K,Nan
NOT230604917K,Nan
NOT230604780K,Nan
NOT210604598K,Nan
NOT230604911K,Nan
NOT210604765K,Nan
NOT230604781K,Nan
NOT230604909K,Nan
NOT230604907K,Nan
NOT210604764K,Nan
NOT230604805K,Nan
NOT230604872K,Nan
NOT230604842K,Nan
NOT230604839K,Nan
NOT210604581K,Nan
NOT230604804K,Nan
NOT210605190K,Nan
NOT210604975K,Nan
NOT230605123K,Nan
NOT230605578K,Nan
NOT230605601K,Nan
NOT210605055K,Nan
NOT210605192K,Nan
NOT210605193K,Nan
NOT230604982K,Nan
NOT210605191K,Nan
NOT230604997K,Nan
NOT230605611K,Nan
NOT230604995K,Nan
NOT230604993K,Nan
NOT230605004K,Nan
NOT210605187K,Nan
NOT230605606K,Nan
NOT230605524K,Nan
NOT230605619K,Nan
NOT230605529K,Nan
NOT210605185K,Nan
NOT210605183K,Nan
NOT230605636K,Nan
NOT230605005K,Nan
NOT230605633K,Nan
NOT210605189K,Nan
NOT230605539K,Nan
NOT230605126K,Nan
NOT230605616K,Nan
NOT230604986K,Nan
NOT230605124K,Nan
NOT210605210K,Nan
NOT230605243K,Nan
NOT230604940K,Nan
NOT230605125K,Nan
NOT210605211K,Nan
NOT230604941K,Nan
NOT210605212K,Nan
NOT230605339K,Nan
NOT230605597K,Nan
NOT230604942K,Nan
NOT230604943K,Nan
NOT230605277K,Nan
NOT210604989K,Nan
NOT210605080K,Nan
NOT210605204K,Nan
NOT210605205K,Nan
NOT210605206K,Nan
NOT230604944K,Nan
NOT230604945K,Nan
NOT230604947K,Nan
NOT210605213K,Nan
NOT210604938K,Nan
NOT210605209K,Nan
NOT210605053K,Nan
NOT230604999K,Nan
NOT230605001K,Nan
NOT210604923K,Nan
NOT210604922K,Nan
NOT210605008K,Nan
NOT230605274K,Nan
NOT230605036K,Nan
NOT230604950K,Nan
NOT210605009K,Nan
NOT210605044K,Nan
NOT210605208K,Nan
NOT210605045K,Nan
NOT210605125K,Nan
NOT230605156K,Nan
NOT230605605K,Nan
NOT210605054K,Nan
NOT230605575K,Nan
NOT230605414K,Nan
NOT230604984K,Nan
NOT210604959K,Nan
NOT230605534K,Nan
NOT230605072K,Nan
NOT210604940K,Nan
NOT230605358K,Nan
NOT230605140K,Nan
NOT230605345K,Nan
NOT230604974K,Nan
NOT230605576K,Nan
NOT230605559K,Nan
NOT230605340K,Nan
NOT230605550K,Nan
NOT230605413K,Nan
NOT230605373K,Nan
NOT230604987K,Nan
NOT230605479K,Nan
NOT210605034K,Nan
NOT210605033K,Nan
NOT210605027K,Nan
NOT230605355K,Nan
NOT230605357K,Nan
NOT230605557K,Nan
NOT230605579K,Nan
NOT230605563K,Nan
NOT230605553K,Nan
NOT230605548K,Nan
NOT230605356K,Nan
NOT230604977K,Nan
NOT230605438K,Nan
NOT230605608K,Nan
NOT230605574K,Nan
NOT230604976K,Nan
NOT230605577K,Nan
NOT230605572K,Nan
NOT230604975K,Nan
NOT210605186K,Nan
NOT230605573K,Nan
NOT230605225K,Nan
NOT230605561K,Nan
NOT210605031K,Nan
NOT230605581K,Nan
NOT230604936K,Nan
NOT230604990K,Nan
NOT230605442K,Nan
NOT230604989K,Nan
NOT230605580K,Nan
NOT230604935K,Nan
NOT230604934K,Nan
NOT230604988K,Nan
NOT230605487K,Nan
NOT230605604K,Nan
NOT210605028K,Nan
NOT210605065K,Nan
NOT210604977K,Nan
NOT210604978K,Nan
NOT210605007K,Nan
NOT230605603K,Nan
NOT230605650K,Nan
NOT230604980K,Nan
NOT230604933K,Nan
NOT230605602K,Nan
NOT210604926K,Nan
NOT210605068K,Nan
NOT210604979K,Nan
NOT230605389K,Nan
NOT230605607K,Nan
NOT210605069K,Nan
NOT230605382K,Nan
NOT230605276K,Nan
NOT210604981K,Nan
NOT230604991K,Nan
NOT210604982K,Nan
NOT230604979K,Nan
NOT210605042K,Nan
NOT230604978K,Nan
NOT230605372K,Nan
NOT210605029K,Nan
NOT230605341K,Nan
NOT210605030K,Nan
NOT210605066K,Nan
NOT210604941K,Nan
NOT210605032K,Nan
NOT230605543K,Nan
NOT210605026K,Nan
NOT210605067K,Nan
NOT230605660K,Nan
NOT210605235K,Nan
NOT210605035K,Nan
NOT210605036K,Nan
NOT210605037K,Nan
NOT230605346K,Nan
NOT210605038K,Nan
NOT230605538K,Nan
NOT210605039K,Nan
NOT210605040K,Nan
NOT210605041K,Nan
NOT210604976K,Nan
NOT230604948K,Nan
NOT230605076K,Nan
NOT230604966K,Nan
NOT230605516K,Nan
NOT230605514K,Nan
NOT230605502K,Nan
NOT230605307K,Nan
NOT230605582K,Nan
NOT230605305K,Nan
NOT230605308K,Nan
NOT230605512K,Nan
NOT230605501K,Nan
NOT230605536K,Nan
NOT230605304K,Nan
NOT230605510K,Nan
NOT230605322K,Nan
NOT230605649K,Nan
NOT230605470K,Nan
NOT230605508K,Nan
NOT230605471K,Nan
NOT230605507K,Nan
NOT230605500K,Nan
NOT230605503K,Nan
NOT230605476K,Nan
NOT230605518K,Nan
NOT230605504K,Nan
NOT230605058K,Nan
NOT230605061K,Nan
NOT230605062K,Nan
NOT230605064K,Nan
NOT230605066K,Nan
NOT230605068K,Nan
NOT230605070K,Nan
NOT230605570K,Nan
NOT230605155K,Nan
NOT230605647K,Nan
NOT230605531K,Nan
NOT230605652K,Nan
NOT230605654K,Nan
NOT230605609K,Nan
NOT230605588K,Nan
NOT230605628K,Nan
NOT230605522K,Nan
NOT230605523K,Nan
NOT230605483K,Nan
NOT230605498K,Nan
NOT230605656K,Nan
NOT230605465K,Nan
NOT230605657K,Nan
NOT230605610K,Nan
NOT210604971K,Nan
NOT230605095K,Nan
NOT230605135K,Nan
NOT230605134K,Nan
NOT230605631K,Nan
NOT210604972K,Nan
NOT230605298K,Nan
NOT210604973K,Nan
NOT230605296K,Nan
NOT230605132K,Nan
NOT230605630K,Nan
NOT210604974K,Nan
NOT210604960K,Nan
NOT210605024K,Nan
NOT230605506K,Nan
NOT230605505K,Nan
NOT230605136K,Nan
NOT210605013K,Nan
NOT230605497K,Nan
NOT230605403K,Nan
NOT230605338K,Nan
NOT230605056K,Nan
NOT230605300K,Nan
NOT230605302K,Nan
NOT230605452K,Nan
NOT230605459K,Nan
NOT230605408K,Nan
NOT230605387K,Nan
NOT230605436K,Nan
NOT230605367K,Nan
NOT230605223K,Nan
NOT230605632K,Nan
NOT230605406K,Nan
NOT230605133K,Nan
NOT230605368K,Nan
NOT230605318K,Nan
NOT230605320K,Nan
NOT230605434K,Nan
NOT230605424K,Nan
NOT230605303K,Nan
NOT230605224K,Nan
NOT230605323K,Nan
NOT230605625K,Nan
NOT230605365K,Nan
NOT230605366K,Nan
NOT230605645K,Nan
NOT230605054K,Nan
NOT230605309K,Nan
NOT230605401K,Nan
NOT230605041K,Nan
NOT230605040K,Nan
NOT230605039K,Nan
NOT230605032K,Nan
NOT230605075K,Nan
NOT230605097K,Nan
NOT230605034K,Nan
NOT230605074K,Nan
NOT230605073K,Nan
NOT230605038K,Nan
NOT230605003K,Nan
NOT230605402K,Nan
NOT230605014K,Nan
NOT230605441K,Nan
NOT230605131K,Nan
NOT230605443K,Nan
NOT230605422K,Nan
NOT230605417K,Nan
NOT230605042K,Nan
NOT230605486K,Nan
NOT230605122K,Nan
NOT230605113K,Nan
NOT230605077K,Nan
NOT230605078K,Nan
NOT230605080K,Nan
NOT230605083K,Nan
NOT230605084K,Nan
NOT230605085K,Nan
NOT230605086K,Nan
NOT230605088K,Nan
NOT230605089K,Nan
NOT210605207K,Nan
NOT230605405K,Nan
NOT230605100K,Nan
NOT230605118K,Nan
NOT230605371K,Nan
NOT230605116K,Nan
NOT230605115K,Nan
NOT230605114K,Nan
NOT230605099K,Nan
NOT230605400K,Nan
NOT230605098K,Nan
NOT230605090K,Nan
NOT230605226K,Nan
NOT230605023K,Nan
NOT230605484K,Nan
NOT230605093K,Nan
NOT230605101K,Nan
NOT230605103K,Nan
NOT230605105K,Nan
NOT230605316K,Nan
NOT230605107K,Nan
NOT230605109K,Nan
NOT230605111K,Nan
NOT230605043K,Nan
NOT230605091K,Nan
NOT230605044K,Nan
NOT230605047K,Nan
NOT230605048K,Nan
NOT230605049K,Nan
NOT230605314K,Nan
NOT230605050K,Nan
NOT230605312K,Nan
NOT230605051K,Nan
NOT230605311K,Nan
NOT230605310K,Nan
NOT230605046K,Nan
NOT230605052K,Nan
NOT230605658K,Nan
NOT230605664K,Nan
NOT230605031K,Nan
NOT230605029K,Nan
NOT230605028K,Nan
NOT230605027K,Nan
NOT230605026K,Nan
NOT230605025K,Nan
NOT230605024K,Nan
NOT230605022K,Nan
NOT230605020K,Nan
NOT230605370K,Nan
NOT230605019K,Nan
NOT230605593K,Nan
NOT230605002K,Nan
NOT230605017K,Nan
NOT230605016K,Nan
NOT230605594K,Nan
NOT230605532K,Nan
NOT230605662K,Nan
NOT230605530K,Nan
NOT230605081K,Nan
NOT230605018K,Nan
NOT230605595K,Nan
NOT230605449K,Nan
NOT230605432K,Nan
NOT230605551K,Nan
NOT230605634K,Nan
NOT230605554K,Nan
NOT210605015K,Nan
NOT230605369K,Nan
NOT230605280K,Nan
NOT230605348K,Nan
NOT230605279K,Nan
NOT230605566K,Nan
NOT230605482K,Nan
NOT230605635K,Nan
NOT230605558K,Nan
NOT230605379K,Nan
NOT230605591K,Nan
NOT230605437K,Nan
NOT230605525K,Nan
NOT230605629K,Nan
NOT230605590K,Nan
NOT230605589K,Nan
NOT230605390K,Nan
NOT210605231K,Nan
NOT230605544K,Nan
NOT230605592K,Nan
NOT230605599K,Nan
NOT230605142K,Nan
NOT230605598K,Nan
NOT230605409K,Nan
NOT230605485K,Nan
NOT230605596K,Nan
NOT230605439K,Nan
NOT230605415K,Nan
NOT230605569K,Nan
NOT210605016K,Nan
NOT190605539K,Nan
NOT230604973K,Nan
NOT230604964K,Nan
NOT230605568K,Nan
NOT230604971K,Nan
NOT230604970K,Nan
NOT230605567K,Nan
NOT230605363K,Nan
NOT230605388K,Nan
NOT230605386K,Nan
NOT230605612K,Nan
NOT210605017K,Nan
NOT230605481K,Nan
NOT210605018K,Nan
NOT230604960K,Nan
NOT230604959K,Nan
NOT230604958K,Nan
NOT230604957K,Nan
NOT230604956K,Nan
NOT230605137K,Nan
NOT230604955K,Nan
NOT210605014K,Nan
NOT230605359K,Nan
NOT230605138K,Nan
NOT230605347K,Nan
NOT230604969K,Nan
NOT230604954K,Nan
NOT230604953K,Nan
NOT210604936K,Nan
NOT230605469K,Nan
NOT230605354K,Nan
NOT230604968K,Nan
NOT230604967K,Nan
NOT210604937K,Nan
NOT210604949K,Nan
NOT230605384K,Nan
NOT230604962K,Nan
NOT230605547K,Nan
NOT210605019K,Nan
NOT230605587K,Nan
NOT230604931K,Nan
NOT230604937K,Nan
NOT230605480K,Nan
NOT230604938K,Nan
NOT230605278K,Nan
NOT210605020K,Nan
NOT230604939K,Nan
NOT230604963K,Nan
NOT230605526K,Nan
NOT230605362K,Nan
NOT210605021K,Nan
NOT210605022K,Nan
NOT230605533K,Nan
NOT210605023K,Nan
NOT230605537K,Nan
NOT210605025K,Nan
NOT230605361K,Nan
NOT230605546K,Nan
NOT230605528K,Nan
NOT230605495K,Nan
NOT230605006K,Nan
NOT230605007K,Nan
NOT230605395K,Nan
NOT230605491K,Nan
NOT230605249K,Nan
NOT230605458K,Nan
NOT210604944K,Nan
NOT230605374K,Nan
NOT230605489K,Nan
NOT230605521K,Nan
NOT230605383K,Nan
NOT230605404K,Nan
NOT230605342K,Nan
NOT230605456K,Nan
NOT230605455K,Nan
NOT230605457K,Nan
NOT230605464K,Nan
NOT230605641K,Nan
NOT210605079K,Nan
NOT230605499K,Nan
NOT230605640K,Nan
NOT230605396K,Nan
NOT230605493K,Nan
NOT230605642K,Nan
NOT230605397K,Nan
NOT230605472K,Nan
NOT230605385K,Nan
NOT230605381K,Nan
NOT230605643K,Nan
NOT230605431K,Nan
NOT230605378K,Nan
NOT230605376K,Nan
NOT230605294K,Nan
NOT230605621K,Nan
NOT230605463K,Nan
NOT230605423K,Nan
NOT230605411K,Nan
NOT230605353K,Nan
NOT230605416K,Nan
NOT230605430K,Nan
NOT230605412K,Nan
NOT230605420K,Nan
NOT230605399K,Nan
NOT230605251K,Nan
NOT230605398K,Nan
NOT230605620K,Nan
NOT230605462K,Nan
NOT230605429K,Nan
NOT230605407K,Nan
NOT230605281K,Nan
NOT230605391K,Nan
NOT230605637K,Nan
NOT230605360K,Nan
NOT230605306K,Nan
NOT230605427K,Nan
NOT230605447K,Nan
NOT230605246K,Nan
NOT230605446K,Nan
NOT230605392K,Nan
NOT230605626K,Nan
NOT230605624K,Nan
NOT230605623K,Nan
NOT230605622K,Nan
NOT230605410K,Nan
NOT230605425K,Nan
NOT230605488K,Nan
NOT230605012K,Nan
NOT230605010K,Nan
NOT230605009K,Nan
NOT230605440K,Nan
NOT230605600K,Nan
NOT230605283K,Nan
NOT230605428K,Nan
NOT230605461K,Nan
NOT230605460K,Nan
NOT230605454K,Nan
NOT230605627K,Nan
NOT230605453K,Nan
NOT230605451K,Nan
NOT230605450K,Nan
NOT230605639K,Nan
NOT230605293K,Nan
NOT230605393K,Nan
NOT230605364K,Nan
NOT230605291K,Nan
NOT230605638K,Nan
NOT230605290K,Nan
NOT230605618K,Nan
NOT230605247K,Nan
NOT230605289K,Nan
NOT230605287K,Nan
NOT230605285K,Nan
NOT230605394K,Nan
NOT230605292K,Nan
NOT210605126K,Nan
NOT230604951K,Nan
NOT210604984K,Nan
NOT230605185K,Nan
NOT230605187K,Nan
NOT210604929K,Nan
NOT230605565K,Nan
NOT210605163K,Nan
NOT230605255K,Nan
NOT230605189K,Nan
NOT230605191K,Nan
NOT230605466K,Nan
NOT210605164K,Nan
NOT230605254K,Nan
NOT230605193K,Nan
NOT230605268K,Nan
NOT230605269K,Nan
NOT210605165K,Nan
NOT230605585K,Nan
NOT230605351K,Nan
NOT230605270K,Nan
NOT230605332K,Nan
NOT230605467K,Nan
NOT230605330K,Nan
NOT230605468K,Nan
NOT230605267K,Nan
NOT230605350K,Nan
NOT230605349K,Nan
NOT230605584K,Nan
NOT150604154K,Nan
NOT230605228K,Nan
NOT230605229K,Nan
NOT230605181K,Nan
NOT230604932K,Nan
NOT230605139K,Nan
NOT230605230K,Nan
NOT230605232K,Nan
NOT230605234K,Nan
NOT230605236K,Nan
NOT230605245K,Nan
NOT230605238K,Nan
NOT230605182K,Nan
NOT230605240K,Nan
NOT230605211K,Nan
NOT230605210K,Nan
NOT230605183K,Nan
NOT230605435K,Nan
NOT230605242K,Nan
NOT210605010K,Nan
NOT230605252K,Nan
NOT230605253K,Nan
NOT230605184K,Nan
NOT230605328K,Nan
NOT230605180K,Nan
NOT230605334K,Nan
NOT230605256K,Nan
NOT210604952K,Nan
NOT210604951K,Nan
NOT210605064K,Nan
NOT210604983K,Nan
NOT230605205K,Nan
NOT210604985K,Nan
NOT210604986K,Nan
NOT230605130K,Nan
NOT210604987K,Nan
NOT210604988K,Nan
NOT230605203K,Nan
NOT230605207K,Nan
NOT210604970K,Nan
NOT230605571K,Nan
NOT210604995K,Nan
NOT210604969K,Nan
NOT210604946K,Nan
NOT210605011K,Nan
NOT210605012K,Nan
NOT230605615K,Nan
NOT230605209K,Nan
NOT230605208K,Nan
NOT230605519K,Nan
NOT230605201K,Nan
NOT230605199K,Nan
NOT230605198K,Nan
NOT230605327K,Nan
NOT230605257K,Nan
NOT230605326K,Nan
NOT230605325K,Nan
NOT230605271K,Nan
NOT230605324K,Nan
NOT230605344K,Nan
NOT230605259K,Nan
NOT230605261K,Nan
NOT230605263K,Nan
NOT230605477K,Nan
NOT230605520K,Nan
NOT210604958K,Nan
NOT210604957K,Nan
NOT210605230K,Nan
NOT170604637K,Nan
NOT170604520K,Nan
NOT170604458K,Nan
NOT230605614K,Nan
NOT230605272K,Nan
NOT170604538K,Nan
NOT230605196K,Nan
NOT230605197K,Nan
NOT230605426K,Nan
NOT230605227K,Nan
NOT210605076K,Nan
NOT230605179K,Nan
NOT230605214K,Nan
NOT230605564K,Nan
NOT230605169K,Nan
NOT210605238K,Nan
NOT230605220K,Nan
NOT230605194K,Nan
NOT230605473K,Nan
NOT230605586K,Nan
NOT230605167K,Nan
NOT230605474K,Nan
NOT230605173K,Nan
NOT230605175K,Nan
NOT230605475K,Nan
NOT230605177K,Nan
NOT230605419K,Nan
NOT230605218K,Nan
NOT230605216K,Nan
NOT230605583K,Nan
NOT230605171K,Nan
NOT230605166K,Nan
NOT230605222K,Nan
NOT210605237K,Nan
NOT210605236K,Nan
NOT230605244K,Nan
NOT150604108K,Nan
NOT230605164K,Nan
NOT230605195K,Nan
NOT150604106K,Nan
NOT230605165K,Nan
NOT230605478K,Nan
NOT230605265K,Nan
NOT230605212K,Nan
NOT210605306K,Nan
NOT230605673K,Nan
NOT190605606K,Nan
NOT210605430K,Nan
NOT210605261K,Nan
NOT190605702K,Nan
NOT210605496K,Nan
NOT190605598K,Nan
NOT210605497K,Nan
NOT190605880K,Nan
NOT190605611K,Nan
NOT190605712K,Nan
NOT190605696K,Nan
NOT190605713K,Nan
NOT190605691K,Nan
NOT230605672K,Nan
NOT190605690K,Nan
NOT210605446K,Nan
NOT230605700K,Nan
NOT210605488K,Nan
NOT210605305K,Nan
NOT210605349K,Nan
NOT210605518K,Nan
NOT190605609K,Nan
NOT190605610K,Nan
NOT190605765K,Nan
NOT210605528K,Nan
NOT230605702K,Nan
NOT190605701K,Nan
NOT210605270K,Nan
NOT210605350K,Nan
NOT230605710K,Nan
NOT210605283K,Nan
NOT210605469K,Nan
NOT210605244K,Nan
NOT210605467K,Nan
NOT210605284K,Nan
NOT210605490K,Nan
NOT210605444K,Nan
NOT210605285K,Nan
NOT210605516K,Nan
NOT210605460K,Nan
NOT190605808K,Nan
NOT210605461K,Nan
NOT210605468K,Nan
NOT230605708K,Nan
NOT210605507K,Nan
NOT210605290K,Nan
NOT210605508K,Nan
NOT210605271K,Nan
NOT230605668K,Nan
NOT230605667K,Nan
NOT230605671K,Nan
NOT150604722K,Nan
NOT230605666K,Nan
NOT230605670K,Nan
NOT230605665K,Nan
NOT210605470K,Nan
NOT210605484K,Nan
NOT190605810K,Nan
NOT150604623K,Nan
NOT210605241K,Nan
NOT230605688K,Nan
NOT210605353K,Nan
NOT210605342K,Nan
NOT210605277K,Nan
NOT210605272K,Nan
NOT210605326K,Nan
NOT210605495K,Nan
NOT190605752K,Nan
NOT210605292K,Nan
NOT150604714K,Nan
NOT210605445K,Nan
NOT210605462K,Nan
NOT210605352K,Nan
NOT210605255K,Nan
NOT210605359K,Nan
NOT230605677K,Nan
NOT230605678K,Nan
NOT190605649K,Nan
NOT210605254K,Nan
NOT210605301K,Nan
NOT210605360K,Nan
NOT210605361K,Nan
NOT230605676K,Nan
NOT230605675K,Nan
NOT210605253K,Nan
NOT230605695K,Nan
NOT230605679K,Nan
NOT230605680K,Nan
NOT210605257K,Nan
NOT230605714K,Nan
NOT230605686K,Nan
NOT210605459K,Nan
NOT230605713K,Nan
NOT210605464K,Nan
NOT230605692K,Nan
NOT230605693K,Nan
NOT230605684K,Nan
NOT230605683K,Nan
NOT210605259K,Nan
NOT230605694K,Nan
NOT210605258K,Nan
NOT190605687K,Nan
NOT230605712K,Nan
NOT230605682K,Nan
NOT210605351K,Nan
NOT230605681K,Nan
NOT210605506K,Nan
NOT230605711K,Nan
NOT210605451K,Nan
NOT210605252K,Nan
NOT230605706K,Nan
NOT230605707K,Nan
NOT210605247K,Nan
NOT210605246K,Nan
NOT190605895K,Nan
NOT230605699K,Nan
NOT210605517K,Nan
NOT210605466K,Nan
NOT190605846K,Nan
NOT230605669K,Nan
NOT230605674K,Nan
NOT210605458K,Nan
NOT230605698K,Nan
NOT210605456K,Nan
NOT210605304K,Nan
NOT210605303K,Nan
NOT190605697K,Nan
NOT190605845K,Nan
NOT230605696K,Nan
NOT230605697K,Nan
NOT210605463K,Nan
NOT210605286K,Nan
NOT190605686K,Nan
NOT210605250K,Nan
NOT210605472K,Nan
NOT230605709K,Nan
NOT210605465K,Nan
NOT210605302K,Nan
NOT210605248K,Nan
NOT210605249K,Nan
NOT230605704K,Nan
NOT210605589K,Nan
