notif_no,substance_detected
NOT220708037K,Nan
NOT220708092K,Nan
NOT220708003K,Nan
NOT220708082K,Nan
NOT220708062K,Nan
NOT220707964K,Nan
NOT220707962K,Nan
NOT220707955K,Nan
NOT220707953K,Nan
NOT220708135K,Nan
NOT220707960K,Nan
NOT220708063K,Nan
NOT220707959K,Nan
NOT220708010K,Nan
NOT220708032K,Nan
NOT220707958K,Nan
NOT220707939K,Nan
NOT220707945K,Nan
NOT200706578K,Nan
NOT220708030K,Nan
NOT220707946K,Nan
NOT220707943K,Nan
NOT220708061K,Nan
NOT220708007K,Nan
NOT200706576K,Nan
NOT220707921K,Nan
NOT180706423K,Nan
NOT180706634K,Nan
NOT180706615K,Nan
NOT220708143K,Nan
NOT180706457K,Nan
NOT220708011K,Nan
NOT180706424K,Nan
NOT220708066K,Nan
NOT220708055K,Nan
NOT220708064K,Nan
NOT220708065K,Nan
NOT220708058K,Nan
NOT220708034K,Nan
NOT220707972K,Nan
NOT180706426K,Nan
NOT220707933K,Nan
NOT220707920K,Nan
NOT220708012K,Nan
NOT200706571K,Nan
NOT200706573K,Nan
NOT180706422K,Nan
NOT180706572K,Nan
NOT200706579K,Nan
NOT180706613K,Nan
NOT220708138K,Nan
NOT220708139K,Nan
NOT220708006K,Nan
NOT220708134K,Nan
NOT220708029K,Nan
NOT220707954K,Nan
NOT220707918K,Nan
NOT220707934K,Nan
NOT220707936K,Nan
NOT220707941K,Nan
NOT220707935K,Nan
NOT220708300K,Nan
NOT220708312K,Nan
NOT220708399K,Nan
NOT220708354K,Nan
NOT220708401K,Nan
NOT220708442K,Nan
NOT220708403K,Nan
NOT220708406K,Nan
NOT220708405K,Nan
NOT220708528K,Nan
NOT220708407K,Nan
NOT220708436K,Nan
NOT200706634K,Nan
NOT220708408K,Nan
NOT220708396K,Nan
NOT220708416K,Nan
NOT220708404K,Nan
NOT220708459K,Nan
NOT220708394K,Nan
NOT220708397K,Nan
NOT220708390K,Nan
NOT220708281K,Nan
NOT220708291K,Nan
NOT220708330K,Nan
NOT220708306K,Nan
NOT220708495K,Nan
NOT220708494K,Nan
NOT220708493K,Nan
NOT220708309K,Nan
NOT220708460K,Nan
NOT220708392K,Nan
NOT220708307K,Nan
NOT220708308K,Nan
NOT220708393K,Nan
NOT220708490K,Nan
NOT220708498K,Nan
NOT220708293K,Nan
NOT220708310K,Nan
NOT220708395K,Nan
NOT220708311K,Nan
NOT220708289K,Nan
NOT220708530K,Nan
NOT220708298K,Nan
NOT220708489K,Nan
NOT220708305K,Nan
NOT200706852K,Nan
NOT220708294K,Nan
NOT200706850K,Nan
NOT240603256K,Nan
NOT200706649K,Nan
NOT200706608K,Nan
NOT200706638K,Nan
NOT200706630K,Nan
NOT200706636K,Nan
NOT220708332K,Nan
NOT220708492K,Nan
NOT200706635K,Nan
NOT200706758K,Nan
NOT180706972K,Nan
NOT180706962K,Nan
NOT180706973K,Nan
NOT200706637K,Nan
NOT220708450K,Nan
NOT200706631K,Nan
NOT200706975K,Nan
NOT180706853K,Nan
NOT220708444K,Nan
NOT220708532K,Nan
NOT220708481K,Nan
NOT220708533K,Nan
NOT220708535K,Nan
NOT220708537K,Nan
NOT220708526K,Nan
NOT220708296K,Nan
NOT220708333K,Nan
NOT220708497K,Nan
NOT200706760K,Nan
NOT220708458K,Nan
NOT220708295K,Nan
NOT200706640K,Nan
NOT220708331K,Nan
NOT220708148K,Nan
NOT220708151K,Nan
NOT200706912K,Nan
NOT200706831K,Nan
NOT220708443K,Nan
NOT220708185K,Nan
NOT220708412K,Nan
NOT220708388K,Nan
NOT220708304K,Nan
NOT220708256K,Nan
NOT220708219K,Nan
